Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
10.674723,0.2425,0.2164,0.28125,0.17815,0.14065,0.2659,0.39,0.29685,0.11465,0.2596,0.3325,0.109,0.2682,0.09955,0.14955,0.11605,0.1223,0.0995,0.28205,0.13125,0.25175,0.1643
10.841667,0.2424,0.2171,0.27925,0.17345,0.13915,0.26885,0.3927,0.3004,0.1134,0.26,0.3321,0.10815,0.2732,0.1014,0.14885,0.11555,0.12745,0.10525,0.2866,0.13425,0.2655,0.1669
11.008611,0.23935,0.206,0.28045,0.17875,0.14045,0.26635,0.39335,0.30005,0.11175,0.25845,0.3319,0.11045,0.26795,0.10245,0.14875,0.11305,0.12525,0.1033,0.2851,0.13085,0.2812,0.1669
11.175556,0.24235,0.21485,0.27625,0.1754,0.13545,0.2681,0.3935,0.30075,0.10885,0.2563,0.3308,0.10695,0.27715,0.1031,0.1488,0.1161,0.12655,0.10225,0.2889,0.1324,0.29185,0.1704
11.342223,0.2427,0.2111,0.27725,0.17605,0.1361,0.27145,0.38835,0.29265,0.11495,0.26035,0.3313,0.1122,0.2769,0.10865,0.1536,0.11675,0.13065,0.0999,0.2908,0.1357,0.3142,0.16955
11.508889,0.24325,0.2122,0.2744,0.1749,0.1383,0.26725,0.3846,0.2923,0.11365,0.25915,0.3312,0.1131,0.28095,0.11245,0.15155,0.1136,0.12715,0.09685,0.28765,0.1352,0.32555,0.173
11.675556,0.24145,0.21045,0.27495,0.1711,0.13745,0.27175,0.38955,0.30095,0.10655,0.25715,0.334,0.1128,0.2791,0.11345,0.1523,0.1139,0.125,0.098,0.2877,0.12955,0.3337,0.17865
11.842223,0.24475,0.21535,0.2732,0.1703,0.13895,0.26835,0.3873,0.2967,0.1055,0.25515,0.33165,0.10925,0.28065,0.11435,0.14815,0.11295,0.13195,0.1035,0.29175,0.13475,0.3433,0.1786
12.008889,0.24455,0.21205,0.2783,0.1715,0.1374,0.26685,0.3823,0.29915,0.10915,0.2602,0.3335,0.1121,0.28225,0.12095,0.1501,0.11305,0.12975,0.0939,0.29045,0.133,0.3617,0.18045
12.175556,0.2432,0.217,0.2701,0.1656,0.13795,0.26875,0.38725,0.2989,0.10125,0.2538,0.33275,0.1091,0.2876,0.12415,0.1484,0.114,0.13265,0.1023,0.2932,0.1325,0.3632,0.1842
12.3425,0.24105,0.215,0.2707,0.1697,0.13405,0.26795,0.37925,0.2957,0.10895,0.25685,0.3347,0.11195,0.2884,0.1289,0.15205,0.1171,0.12965,0.09265,0.29025,0.1348,0.37875,0.1827
12.509167,0.24065,0.219,0.27105,0.1651,0.1357,0.2672,0.3831,0.2991,0.1094,0.2593,0.33655,0.10895,0.288,0.1307,0.15025,0.11645,0.1323,0.09495,0.29075,0.13525,0.38645,0.1879
12.676111,0.2407,0.21535,0.26805,0.16885,0.13935,0.2705,0.38205,0.30215,0.0979,0.252,0.3345,0.11,0.2825,0.1352,0.14915,0.11195,0.1301,0.09745,0.2914,0.1288,0.3834,0.1912
12.842778,0.244,0.21525,0.26825,0.1646,0.13425,0.2687,0.3796,0.29565,0.10165,0.255,0.3351,0.11345,0.29165,0.1444,0.15255,0.11825,0.1351,0.1022,0.2944,0.13115,0.3885,0.19345
13.009723,0.2416,0.21525,0.2667,0.16315,0.13925,0.2715,0.3777,0.29255,0.10645,0.2557,0.33705,0.1092,0.28405,0.14535,0.1487,0.11185,0.1346,0.1029,0.29575,0.13355,0.4011,0.1939
13.176667,0.2438,0.21775,0.27035,0.1631,0.1334,0.2643,0.37335,0.29115,0.1039,0.25695,0.3355,0.11505,0.2933,0.15735,0.1511,0.1179,0.13745,0.1008,0.2958,0.13375,0.40385,0.19895
13.343334,0.242,0.21825,0.2665,0.1627,0.1345,0.2687,0.3784,0.29745,0.1017,0.2547,0.33515,0.11295,0.2907,0.16135,0.147,0.1161,0.1392,0.1035,0.2994,0.13145,0.40445,0.19915
13.51,0.2422,0.2191,0.2657,0.1588,0.1362,0.26975,0.3738,0.2926,0.09645,0.2544,0.33635,0.1099,0.28925,0.16615,0.148,0.1143,0.13515,0.1007,0.2968,0.1319,0.40435,0.2047
13.676667,0.23765,0.21745,0.26725,0.1635,0.13585,0.26865,0.37345,0.2985,0.09295,0.2515,0.33785,0.11085,0.28705,0.1712,0.15175,0.1126,0.1348,0.0953,0.2968,0.129,0.4065,0.2084
13.843334,0.2385,0.21225,0.26455,0.16045,0.13495,0.26775,0.37065,0.2915,0.10005,0.25335,0.33705,0.1164,0.2914,0.18285,0.15355,0.1167,0.14,0.1011,0.30015,0.13085,0.4122,0.20845
14.010278,0.2372,0.2192,0.26285,0.1598,0.1356,0.2728,0.378,0.30075,0.09255,0.25315,0.336,0.1131,0.2901,0.1875,0.15325,0.1175,0.1396,0.10285,0.3035,0.1271,0.4139,0.21275
